Troy,-16.8,-15.9,-14.4,-12.9,-12.2,-15,-14.3,-15.4,-11.1,-9.3,-7,-9,-8.9,-9.7
Tulane,-6.1,-11.5,-13.7,-11.6,-11.7,-10.4,-12,-14.4,-13.6,-13.8,-14.3,-13.9,-15.8,-16
Tulsa,-8.4,-8.7,-4.7,-3,-2.5,-3.6,-4.1,-4.7,-5.9,-5.2,-5.4,-5.3,-6.4,-6
UCF,-1.8,-3.8,-4,-7.5,-7.6,-9.1,-12,-11.3,-13.8,-15.5,-15.5,-15.9,-17.9,-19.1
UCLA,20,19.7,18,16.6,19.6,16.5,17.1,15.4,16.6,14.7,16.5,15.8,16.4,15.4
UConn,-12.9,-12.6,-12.9,-9.9,-10.6,-9.3,-7.2,-7.4,-8.5,-6.9,-6.6,-6.4,-5.2,-5.8
UL Monroe,-9.7,-8.4,-7.4,-7.4,-7.8,-10.1,-10.1,-12.8,-14.7,-14.7,-16.8,-17.7,-17.8,-17.6
UMass,-7.5,-7.5,-11.2,-10.3,-10.3,-9.2,-10.3,-11.2,-10.9,-11.3,-12,-11.9,-13.3,-12.5
UNC,11.4,9.9,10.6,13.5,11.7,13.6,13.2,14.7,14.4,14.6,15.5,17.4,17.3,17.9
UNLV,-20.1,-17,-17.7,-16.6,-8.9,-8.4,-8.2,-9.3,-9.6,-10.3,-8.9,-9.7,-11.5,-12.2
USC,20.5,23.2,24.4,22.5,24.5,25.6,22.8,21.9,22.8,22.8,22,20.9,19.2,20
USF,-9.2,-5.9,-3.9,-6.5,-7.1,-7.2,-3.4,-1.8,-1.3,-1.4,-1,1.4,4.3,5.9
Utah,9.1,9.6,8.5,9.3,15.9,16.1,16,17.2,15.8,15,15.3,14.7,14,13.2
Utah State,-0.1,-4.1,-2.2,-2.7,-1.8,-0.5,3.2,7,3.2,4.5,3.3,3,2.4,1.5
UTEP,-13,-11.9,-15.8,-15.2,-17.9,-19.3,-21.6,-21.7,-20.9,-21,-19.7,-20.2,-18.5,-18.2
UTSA,-18.3,-13.1,-14.8,-17,-16.4,-15,-13.4,-15.3,-14.8,-16.2,-16.4,-15.7,-15,-16.5
UVA,2.6,4.4,5.3,2.6,-1.7,-1.7,-0.7,-0.7,-0.3,0.8,1.4,1.6,2.2,2.5
Vanderbilt,3,1.1,1.2,0.7,3.2,3.8,3.8,2.6,3.1,1.1,2.4,2.5,1.3,1.4
VT,12.7,12.7,10.9,13.8,11,10.2,11,10.7,9.8,10.7,10,10.5,10.7,10.6
W Kentucky,1.6,2.9,2.9,2.3,4.9,8.5,10.6,9.6,8.6,8.6,8.3,8.1,10.9,11.6
W Michigan,1.1,0.8,-3,-2,-1.7,-2,-2.5,2,1.9,2.9,5.2,4.4,4,5
Wake Forest,-6.7,-4.4,-4.7,-5.8,-6,-3.9,-3.7,-5.2,-5.7,-5.1,-5.1,-4.3,-3.6,-3.3
Washington,3.7,4.4,5.9,6.3,6.4,6.7,10.2,9.3,8.7,11.9,11.1,10.2,11.5,12.4
Washington St,2.5,-5.3,-2.2,-4.2,-4.4,-2.1,1.5,3.2,4.3,4.9,6,7.2,8.3,6.2
West Virginia,12.2,16,14.8,16.1,18.7,16.9,14.6,14.4,14.4,13.1,12.9,13.8,15.3,15.6
Wisconsin,10.2,9.5,13.5,13.1,13.4,11.8,12,12.3,13.2,14.3,14.1,14.1,12.9,13.2
Wyoming,-12.9,-18.6,-21,-20.3,-20.7,-19,-18.5,-17.1,-15.9,-15.9,-16.8,-17.3,-16.9,-16.5
