3,3628827,44.476930,0.004536772836282181,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Michigan_State,0.5224,6,Minnesota,0.4925,7,Nebraska,0.8241,8,OSU,0.9032,9,Northwestern,0.3869,10,Wisconsin,0.7658,11,Penn_State,0.6759,12,Rutgers,0.4183,-1,,1
3,3628835,44.476976,0.0070361865521102185,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Michigan_State,0.5224,6,Minnesota,0.4925,7,Nebraska,0.8241,8,OSU,0.9032,9,Rutgers,0.4975,10,Northwestern,0.4925,11,Penn_State,0.6759,12,Wisconsin,0.7845,-1,,1
3,3628840,44.477019,0.008349544484808173,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Michigan_State,0.5224,6,Minnesota,0.4925,7,Nebraska,0.8241,8,OSU,0.9032,9,Rutgers,0.4975,10,Wisconsin,0.7658,11,Penn_State,0.6759,12,Northwestern,0.5987,-1,,1
3,3628955,44.477123,0.008738357243741494,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Michigan_State,0.5224,6,Minnesota,0.4925,7,Northwestern,0.6203,8,OSU,0.9032,9,Rutgers,0.4975,10,Nebraska,0.8126,11,Penn_State,0.6759,12,Wisconsin,0.7845,-1,,1
3,3629560,44.477510,0.009221791145024675,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Michigan_State,0.5224,6,Nebraska,0.6937,7,Minnesota,0.6462,8,OSU,0.9032,9,Rutgers,0.4975,10,Wisconsin,0.7658,11,Penn_State,0.6759,12,Northwestern,0.5987,-1,,1
3,3632572,44.479226,0.009574802259054542,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Michigan_State,0.5224,6,Rutgers,0.4751,7,Nebraska,0.8241,8,OSU,0.9032,9,Minnesota,0.5914,10,Wisconsin,0.7658,11,Penn_State,0.6759,12,Northwestern,0.5987,-1,,1
3,3632687,44.479340,0.0100206715264568,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Michigan_State,0.5224,6,Rutgers,0.4751,7,Northwestern,0.6203,8,OSU,0.9032,9,Minnesota,0.5914,10,Nebraska,0.8126,11,Penn_State,0.6759,12,Wisconsin,0.7845,-1,,1
3,3649020,44.488688,0.010647055412034121,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,OSU,0.922,6,Michigan_State,0.6203,7,Minnesota,0.6462,8,Penn_State,0.6227,9,Rutgers,0.4975,10,Nebraska,0.8126,11,Wisconsin,0.6759,12,Northwestern,0.5987,-1,,1
3,3649021,44.488775,0.010691116523612564,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,OSU,0.922,6,Michigan_State,0.6203,7,Minnesota,0.6462,8,Penn_State,0.6227,9,Rutgers,0.4975,10,Northwestern,0.4925,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
3,3649023,44.488821,0.012686695036446854,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,OSU,0.922,6,Michigan_State,0.6203,7,Minnesota,0.6462,8,Penn_State,0.6227,9,Rutgers,0.4975,10,Wisconsin,0.7658,11,Nebraska,0.8546,12,Northwestern,0.5987,-1,,1
3,3652997,44.491056,0.013887824543590685,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,OSU,0.922,6,Rutgers,0.4751,7,Northwestern,0.6203,8,Penn_State,0.6227,9,Minnesota,0.5914,10,Michigan_State,0.732,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
3,3654063,44.491690,0.015800953225862686,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Penn_State,0.7917,6,Michigan_State,0.6203,7,Minnesota,0.6462,8,OSU,0.9032,9,Rutgers,0.4975,10,Wisconsin,0.7658,11,Nebraska,0.8546,12,Northwestern,0.5987,-1,,1
3,3658037,44.493917,0.017296929215358737,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Indiana,0.6131,4,Michigan,0.8176,5,Penn_State,0.7917,6,Rutgers,0.4751,7,Northwestern,0.6203,8,OSU,0.9032,9,Minnesota,0.5914,10,Michigan_State,0.732,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
3,3779005,44.561801,0.018372613942484975,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Indiana,0.6131,4,Nebraska,0.7953,5,Penn_State,0.7917,6,Rutgers,0.4751,7,Northwestern,0.6203,8,OSU,0.9032,9,Minnesota,0.5914,10,Michigan_State,0.732,11,Michigan,0.9332,12,Wisconsin,0.7845,-1,,1
3,4222565,44.810574,0.019791375700593986,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Michigan,0.8531,4,OSU,0.9466,5,Penn_State,0.7917,6,Rutgers,0.4751,7,Northwestern,0.6203,8,Indiana,0.6415,9,Minnesota,0.5914,10,Michigan_State,0.732,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
3,4746671,45.104702,0.02273666394847918,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Minnesota,0.8517,4,Indiana,0.4801,5,Penn_State,0.7917,6,Rutgers,0.4751,7,Northwestern,0.6203,8,OSU,0.9032,9,Michigan,0.953,10,Michigan_State,0.732,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
3,4783933,45.125343,0.02275159968944572,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Minnesota,0.8517,4,Michigan,0.8176,5,Penn_State,0.7917,6,Michigan_State,0.6203,7,Northwestern,0.6203,8,Indiana,0.6415,9,Rutgers,0.4975,10,OSU,0.8885,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
3,4862519,45.169565,0.02463931247238811,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Minnesota,0.8517,4,Nebraska,0.7953,5,OSU,0.922,6,Rutgers,0.4751,7,Northwestern,0.6203,8,Indiana,0.6415,9,Michigan,0.953,10,Michigan_State,0.732,11,Penn_State,0.6759,12,Wisconsin,0.7845,-1,,1
3,4867559,45.172504,0.02472879498126839,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Minnesota,0.8517,4,Nebraska,0.7953,5,Penn_State,0.7917,6,Rutgers,0.4751,7,Northwestern,0.6203,8,Indiana,0.6415,9,Michigan,0.953,10,Michigan_State,0.732,11,OSU,0.79,12,Wisconsin,0.7845,-1,,1
3,4945815,45.217349,0.02585433429987654,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Minnesota,0.8517,4,OSU,0.9466,5,Penn_State,0.7917,6,Michigan_State,0.6203,7,Michigan,0.9256,8,Indiana,0.6415,9,Rutgers,0.4975,10,Wisconsin,0.7658,11,Nebraska,0.8546,12,Northwestern,0.5987,-1,,1
3,4946053,45.217610,0.02630684600974673,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Minnesota,0.8517,4,OSU,0.9466,5,Penn_State,0.7917,6,Michigan_State,0.6203,7,Northwestern,0.6203,8,Indiana,0.6415,9,Rutgers,0.4975,10,Nebraska,0.8126,11,Michigan,0.9332,12,Wisconsin,0.7845,-1,,1
3,4946773,45.218055,0.026501652742352593,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Minnesota,0.8517,4,OSU,0.9466,5,Penn_State,0.7917,6,Nebraska,0.6937,7,Northwestern,0.6203,8,Indiana,0.6415,9,Rutgers,0.4975,10,Michigan_State,0.732,11,Michigan,0.9332,12,Wisconsin,0.7845,-1,,1
3,4948319,45.218952,0.03184008869448675,0,,1,1,Purdue,0.5719,2,Iowa,0.9865,3,Minnesota,0.8517,4,OSU,0.9466,5,Penn_State,0.7917,6,Rutgers,0.4751,7,Northwestern,0.6203,8,Indiana,0.6415,9,Michigan,0.953,10,Michigan_State,0.732,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
0,79384679,46.527698,0.032870961732254,0,,1,1,Iowa,0.8697,2,Wisconsin,0.9589,3,Purdue,0.7482,4,OSU,0.9466,5,Penn_State,0.7917,6,Rutgers,0.4751,7,Minnesota,0.6462,8,Indiana,0.6415,9,Michigan,0.953,10,Michigan_State,0.732,11,Nebraska,0.8546,12,Northwestern,0.5987,-1,,1
3,44660449,67.604514,0.033525699074265454,0,,1,1,Rutgers,0.9316,2,Iowa,0.9865,3,Minnesota,0.8517,4,Indiana,0.4801,5,Penn_State,0.7917,6,Michigan_State,0.6203,7,Northwestern,0.6203,8,OSU,0.9032,9,Michigan,0.953,10,Purdue,0.5075,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
3,44777041,67.669372,0.03633119516644538,0,,1,1,Rutgers,0.9316,2,Iowa,0.9865,3,Minnesota,0.8517,4,Nebraska,0.7953,5,OSU,0.922,6,Michigan_State,0.6203,7,Northwestern,0.6203,8,Indiana,0.6415,9,Michigan,0.953,10,Purdue,0.5075,11,Penn_State,0.6759,12,Wisconsin,0.7845,-1,,1
3,44782081,67.672246,0.036463139046687805,0,,1,1,Rutgers,0.9316,2,Iowa,0.9865,3,Minnesota,0.8517,4,Nebraska,0.7953,5,Penn_State,0.7917,6,Michigan_State,0.6203,7,Northwestern,0.6203,8,Indiana,0.6415,9,Michigan,0.953,10,Purdue,0.5075,11,OSU,0.79,12,Wisconsin,0.7845,-1,,1
3,44862722,67.717320,0.03764777979345509,0,,1,1,Rutgers,0.9316,2,Iowa,0.9865,3,Minnesota,0.8517,4,OSU,0.9466,5,Penn_State,0.7917,6,Michigan_State,0.6203,7,Nebraska,0.8241,8,Indiana,0.6415,9,Michigan,0.953,10,Purdue,0.5075,11,Wisconsin,0.6759,12,Northwestern,0.5987,-1,,1
3,44862841,67.717489,0.046948894283177604,0,,1,1,Rutgers,0.9316,2,Iowa,0.9865,3,Minnesota,0.8517,4,OSU,0.9466,5,Penn_State,0.7917,6,Michigan_State,0.6203,7,Northwestern,0.6203,8,Indiana,0.6415,9,Michigan,0.953,10,Purdue,0.5075,11,Nebraska,0.8546,12,Wisconsin,0.7845,-1,,1
3,46722483,68.766918,0.04947857954718517,0,,1,1,Rutgers,0.9316,2,Iowa,0.9865,3,Purdue,0.7482,4,OSU,0.9466,5,Penn_State,0.7917,6,Michigan_State,0.6203,7,Minnesota,0.6462,8,Indiana,0.6415,9,Michigan,0.953,10,Wisconsin,0.7658,11,Nebraska,0.8546,12,Northwestern,0.5987,-1,,1
-----
Best: 0.04947857954718517,0,,1,1,,1,2,,1,3,,1,4,,1,5,,1,6,,1,7,,1,8,,1,9,,1,10,,1,11,,1,12,,1,-1,,1
