0,104450,0.432000,0.012577111452807852,0,Indiana,0.7819,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Nebraska,0.8705,5,Penn_State,0.8253,6,Rutgers,0.6395,7,Michigan_State,0.699,8,OSU,0.8482,9,Minnesota,0.5932,10,Purdue,0.4829,11,Wisconsin,0.6711,12,Northwestern,0.7375,0,Illinois,0.946
0,104570,0.432000,0.013154474025895986,0,Indiana,0.7819,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Nebraska,0.8705,5,Penn_State,0.8253,6,Rutgers,0.6395,7,Minnesota,0.6015,8,OSU,0.8482,9,Michigan_State,0.721,10,Purdue,0.4829,11,Wisconsin,0.6711,12,Northwestern,0.7375,0,Illinois,0.946
0,109612,0.439000,0.013362097797548928,0,Indiana,0.7819,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Nebraska,0.8705,5,Purdue,0.4801,6,Rutgers,0.6395,7,Minnesota,0.6015,8,OSU,0.8482,9,Michigan_State,0.721,10,Wisconsin,0.8498,11,Penn_State,0.6659,12,Northwestern,0.7375,0,Illinois,0.946
0,18063,0.416000,0.008474272798911274,0,Illinois,0.946,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,OSU,0.8944,6,Purdue,0.342,7,Minnesota,0.6015,8,Penn_State,0.658,9,Rutgers,0.5624,10,Wisconsin,0.8498,11,Nebraska,0.8564,12,Northwestern,0.7375,1,Indiana,0.8564
0,18780,0.417000,0.008741870923624821,0,Illinois,0.946,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,OSU,0.8944,6,Rutgers,0.6395,7,Minnesota,0.6015,8,Penn_State,0.658,9,Purdue,0.4068,10,Nebraska,0.8271,11,Wisconsin,0.6711,12,Northwestern,0.7375,1,Indiana,0.8564
0,18783,0.417000,0.011461791802128562,0,Illinois,0.946,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,OSU,0.8944,6,Rutgers,0.6395,7,Minnesota,0.6015,8,Penn_State,0.658,9,Purdue,0.4068,10,Wisconsin,0.8498,11,Nebraska,0.8564,12,Northwestern,0.7375,1,Indiana,0.8564
0,19009,0.417000,0.011482957030098034,0,Illinois,0.946,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,OSU,0.8944,6,Rutgers,0.6395,7,Northwestern,0.6685,8,Penn_State,0.658,9,Minnesota,0.5932,10,Purdue,0.4829,11,Nebraska,0.8564,12,Wisconsin,0.8023,1,Indiana,0.8564
0,23823,0.424000,0.013633424095008019,0,Illinois,0.946,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Penn_State,0.8253,6,Rutgers,0.6395,7,Minnesota,0.6015,8,OSU,0.8482,9,Purdue,0.4068,10,Wisconsin,0.8498,11,Nebraska,0.8564,12,Northwestern,0.7375,1,Indiana,0.8564
0,24049,0.424000,0.013658599437045008,0,Illinois,0.946,1,Iowa,0.8548,2,Maryland,0.6501,3,Michigan,0.7923,4,Michigan_State,0.6501,5,Penn_State,0.8253,6,Rutgers,0.6395,7,Northwestern,0.6685,8,OSU,0.8482,9,Minnesota,0.5932,10,Purdue,0.4829,11,Nebraska,0.8564,12,Wisconsin,0.8023,1,Indiana,0.8564
0,104450,0.513000,0.015980058305144616,0,Illinois,0.946,1,Indiana,0.8564,2,Maryland,0.6501,3,Michigan,0.7923,4,Nebraska,0.8705,5,Penn_State,0.8253,6,Rutgers,0.6395,7,Michigan_State,0.699,8,OSU,0.8482,9,Minnesota,0.5932,10,Purdue,0.4829,11,Wisconsin,0.6711,12,Northwestern,0.7375,2,Iowa,0.9916
0,104570,0.513000,0.016713635932708453,0,Illinois,0.946,1,Indiana,0.8564,2,Maryland,0.6501,3,Michigan,0.7923,4,Nebraska,0.8705,5,Penn_State,0.8253,6,Rutgers,0.6395,7,Minnesota,0.6015,8,OSU,0.8482,9,Michigan_State,0.721,10,Purdue,0.4829,11,Wisconsin,0.6711,12,Northwestern,0.7375,2,Iowa,0.9916
