0,18783,0.038334,0.009242013214368587,0,Illinois,0.9202,1,Indiana,0.8075,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,OSU,0.8762,6,Rutgers,0.6227,7,Minnesota,0.589,8,Penn_State,0.6392,9,Purdue,0.4183,10,Wisconsin,0.7971,11,Nebraska,0.8241,12,Northwestern,0.711,2,Iowa,0.9819
0,19009,0.038557,0.009380389223889087,0,Illinois,0.9202,1,Indiana,0.8075,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,OSU,0.8762,6,Rutgers,0.6227,7,Northwestern,0.6714,8,Penn_State,0.6392,9,Minnesota,0.5817,10,Purdue,0.485,11,Nebraska,0.8241,12,Wisconsin,0.7482,2,Iowa,0.9819
0,23823,0.042539,0.010683423246085405,0,Illinois,0.9202,1,Indiana,0.8075,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,Penn_State,0.7935,6,Rutgers,0.6227,7,Minnesota,0.589,8,OSU,0.8159,9,Purdue,0.4183,10,Wisconsin,0.7971,11,Nebraska,0.8241,12,Northwestern,0.711,2,Iowa,0.9819
0,24049,0.042748,0.010843380762107287,0,Illinois,0.9202,1,Indiana,0.8075,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,Penn_State,0.7935,6,Rutgers,0.6227,7,Northwestern,0.6714,8,OSU,0.8159,9,Minnesota,0.5817,10,Purdue,0.485,11,Nebraska,0.8241,12,Wisconsin,0.7482,2,Iowa,0.9819
0,23823,0.084167,0.015687950414517437,0,Illinois,0.9202,1,Indiana,0.8075,2,Iowa,0.9819,3,Michigan,0.7619,4,Michigan_State,0.6554,5,Penn_State,0.7935,6,Rutgers,0.6227,7,Minnesota,0.589,8,OSU,0.8159,9,Purdue,0.4183,10,Wisconsin,0.7971,11,Nebraska,0.8241,12,Northwestern,0.711,0,Maryland,0.9282
0,24049,0.084375,0.01592283819551967,0,Illinois,0.9202,1,Indiana,0.8075,2,Iowa,0.9819,3,Michigan,0.7619,4,Michigan_State,0.6554,5,Penn_State,0.7935,6,Rutgers,0.6227,7,Northwestern,0.6714,8,OSU,0.8159,9,Minnesota,0.5817,10,Purdue,0.485,11,Nebraska,0.8241,12,Wisconsin,0.7482,0,Maryland,0.9282
0,18063,0.100290,0.006236270388102899,0,Illinois,0.9202,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,OSU,0.8762,6,Purdue,0.3608,7,Minnesota,0.589,8,Penn_State,0.6392,9,Rutgers,0.5793,10,Wisconsin,0.7971,11,Nebraska,0.8241,12,Northwestern,0.711,1,Indiana,0.8075
0,18783,0.100880,0.007771799889096797,0,Illinois,0.9202,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,OSU,0.8762,6,Rutgers,0.6227,7,Minnesota,0.589,8,Penn_State,0.6392,9,Purdue,0.4183,10,Wisconsin,0.7971,11,Nebraska,0.8241,12,Northwestern,0.711,1,Indiana,0.8075
0,19009,0.101064,0.007888163134907037,0,Illinois,0.9202,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,OSU,0.8762,6,Rutgers,0.6227,7,Northwestern,0.6714,8,Penn_State,0.6392,9,Minnesota,0.5817,10,Purdue,0.485,11,Nebraska,0.8241,12,Wisconsin,0.7482,1,Indiana,0.8075
0,23823,0.104521,0.008983911370091371,0,Illinois,0.9202,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,Penn_State,0.7935,6,Rutgers,0.6227,7,Minnesota,0.589,8,OSU,0.8159,9,Purdue,0.4183,10,Wisconsin,0.7971,11,Nebraska,0.8241,12,Northwestern,0.711,1,Indiana,0.8075
0,24049,0.104696,0.009118422950679283,0,Illinois,0.9202,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Michigan_State,0.6554,5,Penn_State,0.7935,6,Rutgers,0.6227,7,Northwestern,0.6714,8,OSU,0.8159,9,Minnesota,0.5817,10,Purdue,0.485,11,Nebraska,0.8241,12,Wisconsin,0.7482,1,Indiana,0.8075
0,190275,0.440242,0.008603535928053133,0,Indiana,0.732,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,OSU,0.8736,5,Purdue,0.4826,6,Rutgers,0.6227,7,Minnesota,0.589,8,Penn_State,0.6392,9,Michigan_State,0.6958,10,Wisconsin,0.7971,11,Nebraska,0.8241,12,Northwestern,0.711,0,Illinois,0.9202
0,226863,0.462435,0.008938366388748745,0,Indiana,0.732,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Penn_State,0.7619,5,Purdue,0.4826,6,Michigan_State,0.698,7,Minnesota,0.589,8,OSU,0.8159,9,Rutgers,0.5793,10,Wisconsin,0.7971,11,Nebraska,0.8241,12,Northwestern,0.711,0,Illinois,0.9202
0,230475,0.464543,0.009188492871148158,0,Indiana,0.732,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Penn_State,0.7619,5,Purdue,0.4826,6,Rutgers,0.6227,7,Michigan_State,0.6759,8,OSU,0.8159,9,Minnesota,0.5817,10,Wisconsin,0.7971,11,Nebraska,0.8241,12,Northwestern,0.711,0,Illinois,0.9202
0,230595,0.464629,0.009577727832871457,0,Indiana,0.732,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Penn_State,0.7619,5,Purdue,0.4826,6,Rutgers,0.6227,7,Minnesota,0.589,8,OSU,0.8159,9,Michigan_State,0.6958,10,Wisconsin,0.7971,11,Nebraska,0.8241,12,Northwestern,0.711,0,Illinois,0.9202
0,190275,0.477951,0.009490922488938396,0,Illinois,0.9202,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,OSU,0.8736,5,Purdue,0.4826,6,Rutgers,0.6227,7,Minnesota,0.589,8,Penn_State,0.6392,9,Michigan_State,0.6958,10,Wisconsin,0.7971,11,Nebraska,0.8241,12,Northwestern,0.711,1,Indiana,0.8075
0,190275,0.484512,0.011286347089607135,0,Illinois,0.9202,1,Indiana,0.8075,2,Maryland,0.6321,3,Michigan,0.7619,4,OSU,0.8736,5,Purdue,0.4826,6,Rutgers,0.6227,7,Minnesota,0.589,8,Penn_State,0.6392,9,Michigan_State,0.6958,10,Wisconsin,0.7971,11,Nebraska,0.8241,12,Northwestern,0.711,2,Iowa,0.9819
0,226863,0.507788,0.011725586586854037,0,Illinois,0.9202,1,Indiana,0.8075,2,Maryland,0.6321,3,Michigan,0.7619,4,Penn_State,0.7619,5,Purdue,0.4826,6,Michigan_State,0.698,7,Minnesota,0.589,8,OSU,0.8159,9,Rutgers,0.5793,10,Wisconsin,0.7971,11,Nebraska,0.8241,12,Northwestern,0.711,2,Iowa,0.9819
0,230475,0.509868,0.012053709154164698,0,Illinois,0.9202,1,Indiana,0.8075,2,Maryland,0.6321,3,Michigan,0.7619,4,Penn_State,0.7619,5,Purdue,0.4826,6,Rutgers,0.6227,7,Michigan_State,0.6759,8,OSU,0.8159,9,Minnesota,0.5817,10,Wisconsin,0.7971,11,Nebraska,0.8241,12,Northwestern,0.711,2,Iowa,0.9819
0,230595,0.509955,0.012564317921787197,0,Illinois,0.9202,1,Indiana,0.8075,2,Maryland,0.6321,3,Michigan,0.7619,4,Penn_State,0.7619,5,Purdue,0.4826,6,Rutgers,0.6227,7,Minnesota,0.589,8,OSU,0.8159,9,Michigan_State,0.6958,10,Wisconsin,0.7971,11,Nebraska,0.8241,12,Northwestern,0.711,2,Iowa,0.9819
0,190275,0.541607,0.01657330702194802,0,Illinois,0.9202,1,Indiana,0.8075,2,Iowa,0.9819,3,Michigan,0.7619,4,OSU,0.8736,5,Purdue,0.4826,6,Rutgers,0.6227,7,Minnesota,0.589,8,Penn_State,0.6392,9,Michigan_State,0.6958,10,Wisconsin,0.7971,11,Nebraska,0.8241,12,Northwestern,0.711,0,Maryland,0.9282
0,226863,0.551054,0.00986028805862652,0,Illinois,0.9202,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Penn_State,0.7619,5,Purdue,0.4826,6,Michigan_State,0.698,7,Minnesota,0.589,8,OSU,0.8159,9,Rutgers,0.5793,10,Wisconsin,0.7971,11,Nebraska,0.8241,12,Northwestern,0.711,1,Indiana,0.8075
0,230475,0.553176,0.010136213105808934,0,Illinois,0.9202,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Penn_State,0.7619,5,Purdue,0.4826,6,Rutgers,0.6227,7,Michigan_State,0.6759,8,OSU,0.8159,9,Minnesota,0.5817,10,Wisconsin,0.7971,11,Nebraska,0.8241,12,Northwestern,0.711,1,Indiana,0.8075
0,230595,0.553271,0.010565594569731836,0,Illinois,0.9202,1,Iowa,0.8257,2,Maryland,0.6321,3,Michigan,0.7619,4,Penn_State,0.7619,5,Purdue,0.4826,6,Rutgers,0.6227,7,Minnesota,0.589,8,OSU,0.8159,9,Michigan_State,0.6958,10,Wisconsin,0.7971,11,Nebraska,0.8241,12,Northwestern,0.711,1,Indiana,0.8075
